prefix,mainsub,airline_cap
BR,77777W,333
CI,359359,306
CZ,330333,284
DL,330333,293
DL,330332,234
DL,359359,306
DL,76776W,208
DL,767764,246
DL,77777L,280
DY,787789,350
EK,380388,505
EY,77777W,412
EY,787789,290
HV,73W73W,149
HV,73H73H,189
JU,319319,128
KC,321321,179
KL,330332,268
KL,330333,292
KL,73973J,189
KL,744744,408
KL,777772,312
KL,77777W,408
KL,787789,294
KL,73H73H,186
KL,73W73W,142
KL,74E74E,268
KQ,787788,234
MS,73H73H,154
MU,330332,264
OR,787788,305
PC,73H73H,189
PS,73H73H,180
QR,77777W,400
SU,330333,299
TK,32032S,153
TK,330333,289
TK,330332,289
TK,73H73H,155
