code,airline,plf
3O,Air Arabic Maroc,79
AA,American Airlines,82.6
AC,Air Canada,82.3
AM,Aeroméxico,81.5
B2,Belavia,80.4
BR,EVA Air,78.3
CI,China Airlines,79.5
CZ,China Southern Airlines,81.4
DL,Delta Air Lines,85.5
DY,Norwegian Air Shuttle,87.7
EK,Emirates Airlines,77.5
EY,Ethihad Airways,78.5
HV,Transavia,90.6
JU,Air Serbia,73.4
KC,Air Astana,80.6
KL,KLM,88.4
KQ,Kenya Airways,72.3
MF,Xiamen Airlines,79.9
MS,Egypt Air,82
MU,China Eastern Airlines,76.7
PC,Pegasus Airlines,78.6
PS,Oekraïne International airlines,81
RJ,Royal Jordanian,72.8
RO,Tarom,74
SQ,Singapore Airlines,81.1
SU,Aeroflot,82.7
TK,Turkish Airlines,83.2
UA,United Airlines,83.6
AVG,AVG,80.53928571
